"","alg","tune","var","lag","val","sd"
"68","MHS","~tuned","x2",60,-0.00149739735374457,0.0392955247647729
"69","RS","~tuned","x2",60,-0.00474680321713593,0.0423285462632206
"70","HMC","tuned","x2",60,0.00974354798179644,0.0346209884516241
"71","MHS","tuned","x2",60,-0.0250941046325164,0.0360757966249407
"72","RS","tuned","x2",60,-0.00131561643420243,0.0514819500258221
"73","HMC","~tuned","x1",70,-0.00252519602005464,0.0338904745177541
"74","MHS","~tuned","x1",70,0.0176538523522013,0.0403816194838827
"75","RS","~tuned","x1",70,0.00409606911711076,0.0428947989679345
"76","HMC","tuned","x1",70,-0.00876970887310022,0.0315088576281916
"77","MHS","tuned","x1",70,0.000915789235419664,0.0419221721641838
"78","RS","tuned","x1",70,-0.00239981752428644,0.0436013397144965
"79","HMC","~tuned","x2",70,-0.00250549009579671,0.0332567855428716
"80","MHS","~tuned","x2",70,-0.00962027526991991,0.0344759511534902
"81","RS","~tuned","x2",70,0.00415453592293582,0.0385814566616558
"82","HMC","tuned","x2",70,-0.0103041758124402,0.0319594705973783
"83","MHS","tuned","x2",70,-0.0132437898860801,0.027995399344429
"84","RS","tuned","x2",70,0.0082930731293908,0.0468121543462598
"85","HMC","~tuned","x1",80,-0.00441007035616206,0.0328518250187785
"86","MHS","~tuned","x1",80,0.00767836672814781,0.0407248306141101
"87","RS","~tuned","x1",80,0.0145141909341287,0.0377421403753599
"88","HMC","tuned","x1",80,0.00281235750564802,0.0546269196797176
"89","MHS","tuned","x1",80,-0.0121930686255258,0.0275143782017206
"90","RS","tuned","x1",80,0.0110178817022337,0.0510001984649258
"91","HMC","~tuned","x2",80,0.00540773519627163,0.0327522527576225
"92","MHS","~tuned","x2",80,0.000948643977939183,0.0281516929169356
"93","RS","~tuned","x2",80,-0.0033384701399125,0.0464595191188295
"94","HMC","tuned","x2",80,-0.0045175392859165,0.0463644320053062
"95","MHS","tuned","x2",80,-0.00312497104445223,0.0322919115792013
"96","RS","tuned","x2",80,-0.00887179664136411,0.0468954429247108
"97","HMC","~tuned","x1",90,-0.0109175704118028,0.027585404576277
"98","MHS","~tuned","x1",90,-0.000746757514431568,0.0367793364888248
"99","RS","~tuned","x1",90,-0.00195144811643003,0.0452104422403281
"100","HMC","tuned","x1",90,0.000853470289983376,0.0478201520586411
"101","MHS","tuned","x1",90,-0.0147215173941778,0.0336423018005737
"102","RS","tuned","x1",90,0.00196735909804635,0.0414723162295211
"103","HMC","~tuned","x2",90,-0.00370684545009743,0.039490757063317
"104","MHS","~tuned","x2",90,-0.00745592920017869,0.0357152681485031
"105","RS","~tuned","x2",90,0.00132230020940175,0.0328722160426923
"106","HMC","tuned","x2",90,-0.00588734960154163,0.0308071499467253
"107","MHS","tuned","x2",90,0.00760559836323335,0.0311100113881394
"108","RS","tuned","x2",90,0.000755037808131171,0.0478799907183099
"109","HMC","~tuned","x1",100,-0.00974037927022787,0.0254647560506898
"110","MHS","~tuned","x1",100,-0.00744175362762753,0.0278056372408974
"111","RS","~tuned","x1",100,-0.00563387174382583,0.0471520727569708
"112","HMC","tuned","x1",100,0.0012575901004894,0.0423448579122592
"113","MHS","tuned","x1",100,-0.00222715912290402,0.0245766965081226
"114","RS","tuned","x1",100,0.0027373143935484,0.0440358008767572
"115","HMC","~tuned","x2",100,-0.00855173381369166,0.0278936385932583
"116","MHS","~tuned","x2",100,-0.00850947552091138,0.03285044494521
"117","RS","~tuned","x2",100,-0.0171574735810109,0.0379025366350737
"118","HMC","tuned","x2",100,-0.00173631406906958,0.0320759505088354
"119","MHS","tuned","x2",100,0.000836265303717775,0.0377951843286692
"120","RS","tuned","x2",100,0.000899101211715416,0.0357860192719864
