"","alg","tune","var","lag","val","sd"
"37","HMC","~tuned","x8",10,0.0470927184608303,0.0802818033714963
"38","MHS","~tuned","x8",10,0.897201439643165,0.0584873422596223
"39","HMC","tuned","x8",10,0.0734214227081384,0.453765806587577
"40","MHS","tuned","x8",10,0.853429603173577,0.220477060792431
"41","HMC","~tuned","x9",10,0.0486078876535596,0.12413315899824
"42","MHS","~tuned","x9",10,0.84747009404704,0.125833081329582
"43","HMC","tuned","x9",10,0.0794488946345596,0.323389184847744
"44","MHS","tuned","x9",10,0.903652477776879,0.06933045875282
"45","HMC","~tuned","x1",20,0.0224486865473867,0.0601517676466759
"46","MHS","~tuned","x1",20,0.791825393919413,0.107799101457826
"47","HMC","tuned","x1",20,0.0146360115577743,0.022302598586172
"48","MHS","tuned","x1",20,0.772153016209803,0.0924092774797395
"49","HMC","~tuned","x10",20,0.0195154366858009,0.0282543877479958
"50","MHS","~tuned","x10",20,0.732828430250284,0.172038350211029
"51","HMC","tuned","x10",20,-0.00124434636350398,0.390162014640321
"52","MHS","tuned","x10",20,0.822811157146853,0.0487545593430211
"53","HMC","~tuned","x11",20,0.0336332418443831,0.0325733220721729
"54","MHS","~tuned","x11",20,0.668962925726798,0.326472835072508
"55","HMC","tuned","x11",20,0.000978737810258756,0.129564266597287
"56","MHS","tuned","x11",20,0.795011989839048,0.0890127707152135
"57","HMC","~tuned","x2",20,0.00400859579327433,0.0417252284293501
"58","MHS","~tuned","x2",20,0.819012269386432,0.0673370241249827
"59","HMC","tuned","x2",20,0.00778943674132163,0.0618620167877263
"60","MHS","tuned","x2",20,0.621177096386223,0.323839456367375
"61","HMC","~tuned","x3",20,0.00971617562464573,0.0347705272459371
"62","MHS","~tuned","x3",20,0.831600915742536,0.0549787174113278
"63","HMC","tuned","x3",20,0.00484926676711923,0.455055177840624
"64","MHS","tuned","x3",20,0.819656817749393,0.125586589662416
"65","HMC","~tuned","x4",20,-0.00254094176037916,0.0424355517589925
"66","MHS","~tuned","x4",20,0.788286352847943,0.0959443801708524
"67","HMC","tuned","x4",20,0.0114638468078408,0.189168724059296
"68","MHS","tuned","x4",20,0.76225336302056,0.101360266405671
"69","HMC","~tuned","x5",20,0.0209950243361321,0.0503489309675545
"70","MHS","~tuned","x5",20,0.70976226022754,0.163018437043989
"71","HMC","tuned","x5",20,-0.00782793397805109,0.24544975458451
"72","MHS","tuned","x5",20,0.824661191488748,0.112983138514624
"73","HMC","~tuned","x6",20,0.00742444632985982,0.0518306963836575
"74","MHS","~tuned","x6",20,0.795032968036669,0.06911051457279
"75","HMC","tuned","x6",20,0.0101808425147514,0.0665210611810928
"76","MHS","tuned","x6",20,0.880684508761154,0.0671886427958931
"77","HMC","~tuned","x7",20,-0.0021368699221677,0.0434072988728995
"78","MHS","~tuned","x7",20,0.671372541297381,0.247714672907577
"79","HMC","tuned","x7",20,0.00741250013363819,0.189858130211743
"80","MHS","tuned","x7",20,0.836015504220585,0.0753714215742124
"81","HMC","~tuned","x8",20,0.00521493401753939,0.0288549147511645
"82","MHS","~tuned","x8",20,0.807474209399953,0.0586038882889547
"83","HMC","tuned","x8",20,0.0021040377580744,0.354799485809467
"84","MHS","tuned","x8",20,0.776312375377757,0.253412274061589
"85","HMC","~tuned","x9",20,-0.00233330892813838,0.0349204751941983
"86","MHS","~tuned","x9",20,0.728242555400689,0.100076510825578
"87","HMC","tuned","x9",20,0.00400474376298264,0.251562639343465
"88","MHS","tuned","x9",20,0.777298377396581,0.12811665025907
"89","HMC","~tuned","x1",30,0.0166111139851186,0.0353949073763294
"90","MHS","~tuned","x1",30,0.728301497796675,0.0843401740887914
"91","HMC","tuned","x1",30,-0.00661591853824066,0.0269562081818916
"92","MHS","tuned","x1",30,0.690045491904453,0.117643397614491
"93","HMC","~tuned","x10",30,0.00273337798056843,0.0289476487926053
"94","MHS","~tuned","x10",30,0.628778874545206,0.220982432815823
"95","HMC","tuned","x10",30,-0.00435547306641927,0.365164426064008
"96","MHS","tuned","x10",30,0.744004195389461,0.0558664098788713
"97","HMC","~tuned","x11",30,-0.0120646944722444,0.0330474546617708
"98","MHS","~tuned","x11",30,0.599510107317291,0.273481324151974
"99","HMC","tuned","x11",30,0.00799031553718367,0.116654022803175
"100","MHS","tuned","x11",30,0.715501621178295,0.113099575081253
"101","HMC","~tuned","x2",30,0.00242730934038413,0.0309271748744885
"102","MHS","~tuned","x2",30,0.71800363343858,0.0926409609946828
"103","HMC","tuned","x2",30,0.00168622191276988,0.0425663585188741
"104","MHS","tuned","x2",30,0.486250416109028,0.396579728033034
"105","HMC","~tuned","x3",30,0.00602942895904624,0.0330963266975342
"106","MHS","~tuned","x3",30,0.752476083872544,0.0574197108151913
"107","HMC","tuned","x3",30,-0.00194371453620726,0.435586666128071
"108","MHS","tuned","x3",30,0.7474944750413,0.158721823221823
"109","HMC","~tuned","x4",30,-0.0031473357821933,0.0330298068640873
"110","MHS","~tuned","x4",30,0.680096590350666,0.130970944177869
"111","HMC","tuned","x4",30,0.000669168931919565,0.179897272602297
"112","MHS","tuned","x4",30,0.681702713713028,0.0921565825159153
"113","HMC","~tuned","x5",30,-0.0191714763041863,0.0473747917197774
"114","MHS","~tuned","x5",30,0.628980543339803,0.197977903093578
"115","HMC","tuned","x5",30,0.00136677766189294,0.225218021967081
"116","MHS","tuned","x5",30,0.76340976553871,0.106648511210196
"117","HMC","~tuned","x6",30,0.00900404459004974,0.0345539311079332
"118","MHS","~tuned","x6",30,0.699386978300512,0.0659531763766335
"119","HMC","tuned","x6",30,-0.00098425968640573,0.0669313109173161
"120","MHS","tuned","x6",30,0.814974714040562,0.115857470427466
"121","HMC","~tuned","x7",30,-0.00847990776719484,0.0321702882031906
"122","MHS","~tuned","x7",30,0.578494151279469,0.223061881894949
"123","HMC","tuned","x7",30,0.000565949491893855,0.188799258000685
"124","MHS","tuned","x7",30,0.743387436443443,0.100211110808102
"125","HMC","~tuned","x8",30,-0.00751862885911852,0.0256891813296651
"126","MHS","~tuned","x8",30,0.728780820602359,0.07974574875377
"127","HMC","tuned","x8",30,-0.000941897703023829,0.331711524139956
"128","MHS","tuned","x8",30,0.709121152767493,0.278168135778049
"129","HMC","~tuned","x9",30,0.00809190077048417,0.0318887597888982
"130","MHS","~tuned","x9",30,0.623865079867971,0.082430108920697
"131","HMC","tuned","x9",30,-0.00231529421544775,0.231582066581605
"132","MHS","tuned","x9",30,0.68289966333673,0.164731765616527
"133","HMC","~tuned","x1",40,0.0179760985970823,0.0280947434008379
"134","MHS","~tuned","x1",40,0.671249541235989,0.0794135017134597
"135","HMC","tuned","x1",40,-0.00162357474843953,0.0222313911740511
"136","MHS","tuned","x1",40,0.609680626599522,0.141207042856599
"137","HMC","~tuned","x10",40,-0.0038154535438316,0.0307310563199511
"138","MHS","~tuned","x10",40,0.53745251284574,0.239858595373217
"139","HMC","tuned","x10",40,0.00134113136892374,0.358158166832754
"140","MHS","tuned","x10",40,0.686418057724464,0.0590275796221004
"141","HMC","~tuned","x11",40,-0.0118305997619573,0.0323878741376405
"142","MHS","~tuned","x11",40,0.55661468662247,0.180404074435112
"143","HMC","tuned","x11",40,0.011769307995564,0.104741099639208
"144","MHS","tuned","x11",40,0.642402679735135,0.131159766512406
"145","HMC","~tuned","x2",40,-0.00109292971695538,0.0261815938253401
"146","MHS","~tuned","x2",40,0.618810995584589,0.120100707008165
"147","HMC","tuned","x2",40,0.00439428597741037,0.0391920805319694
"148","MHS","tuned","x2",40,0.448120692976546,0.353014800635337
"149","HMC","~tuned","x3",40,-0.0048719359900752,0.0327969918989528
"150","MHS","~tuned","x3",40,0.678235868379468,0.0645100474423236
"151","HMC","tuned","x3",40,-0.000656548811273465,0.421701146606185
"152","MHS","tuned","x3",40,0.698521787647824,0.150706025002889
"153","HMC","~tuned","x4",40,-0.00516130579604704,0.0229489417732383
"154","MHS","~tuned","x4",40,0.594694749927967,0.161689911642932
"155","HMC","tuned","x4",40,0.0022955568457755,0.170632838130661
"156","MHS","tuned","x4",40,0.605331873824113,0.102709570742218
"157","HMC","~tuned","x5",40,-0.0292222629487921,0.0302660713184737
"158","MHS","~tuned","x5",40,0.549314197456742,0.242048524029653
"159","HMC","tuned","x5",40,0.000120613232663879,0.213462874095209
"160","MHS","tuned","x5",40,0.71352700433948,0.105549963042535
"161","HMC","~tuned","x6",40,-0.00323541183982864,0.0251603284069768
"162","MHS","~tuned","x6",40,0.60938868398597,0.0652509717404157
"163","HMC","tuned","x6",40,-9.05087307847507e-05,0.0634665378179897
"164","MHS","tuned","x6",40,0.751994938287668,0.16215164085858
"165","HMC","~tuned","x7",40,-0.0057624955569156,0.0242179281529099
"166","MHS","~tuned","x7",40,0.495148322593827,0.221498543457046
"167","HMC","tuned","x7",40,0.000296188574000203,0.190190274023306
"168","MHS","tuned","x7",40,0.677819899722527,0.0938932805818909
"169","HMC","~tuned","x8",40,-0.00231979984237062,0.0230711079014823
"170","MHS","~tuned","x8",40,0.656255959968749,0.107940438524192
"171","HMC","tuned","x8",40,0.00073945409171646,0.320661050459943
"172","MHS","tuned","x8",40,0.62977481443557,0.329444508995028
"173","HMC","~tuned","x9",40,-0.0134471589122115,0.0210456019041832
"174","MHS","~tuned","x9",40,0.522882080614663,0.0895832574965491
"175","HMC","tuned","x9",40,0.000704696049499759,0.218532508349032
"176","MHS","tuned","x9",40,0.592361945115676,0.216196858271734
"177","HMC","~tuned","x1",50,0.0105288752418338,0.0280766919171209
"178","MHS","~tuned","x1",50,0.615642205810532,0.0973914685236532
"179","HMC","tuned","x1",50,0.000370234482453645,0.0223658774678344
"180","MHS","tuned","x1",50,0.53401423181306,0.172633914404369
"181","HMC","~tuned","x10",50,-0.00550334029121041,0.0215863688922546
"182","MHS","~tuned","x10",50,0.474120279650641,0.203809277405518
"183","HMC","tuned","x10",50,-0.00164303243076218,0.350676974969483
"184","MHS","tuned","x10",50,0.62905115419307,0.0652384803205324
"185","HMC","~tuned","x11",50,-0.0190430878830818,0.029760268933143
"186","MHS","~tuned","x11",50,0.464988509962088,0.189181053978863
"187","HMC","tuned","x11",50,-0.00561044056305197,0.0998688739215495
"188","MHS","tuned","x11",50,0.593999254308985,0.128672658892554
"189","HMC","~tuned","x2",50,0.0055909252465227,0.0271025966710928
"190","MHS","~tuned","x2",50,0.536481800331485,0.144036261619305
"191","HMC","tuned","x2",50,-5.41334012256395e-05,0.0334142807357853
"192","MHS","tuned","x2",50,0.410734616777502,0.344837492031378
