"","alg","tune","var","lag","val","sd"
"107","MHS","tuned","x2",90,-0.0531238304743388,0.0769300290776309
"108","RS","tuned","x2",90,-0.00432101601403974,0.0230753609649161
"109","HMC","~tuned","x1",100,-0.0139182923544119,0.041777880288295
"110","MHS","~tuned","x1",100,0.222871639632414,0.0366260407669003
"111","RS","~tuned","x1",100,-0.0031502684733971,0.0363765190104319
"112","HMC","tuned","x1",100,0.443227948365463,0.228901823514447
"113","MHS","tuned","x1",100,-0.00849244761306299,0.0657880451744028
"114","RS","tuned","x1",100,-0.00186055288055175,0.0350495441654625
"115","HMC","~tuned","x2",100,-0.0061904424245931,0.0363808689720959
"116","MHS","~tuned","x2",100,0.27658734030677,0.166930296148299
"117","RS","~tuned","x2",100,0.00295635808923521,0.0419702292019718
"118","HMC","tuned","x2",100,0.171523152505545,0.168384223401136
"119","MHS","tuned","x2",100,-0.0473404224476192,0.0798366894310669
"120","RS","tuned","x2",100,0.00205931856528017,0.0275025270308462
