"","alg","tune","var","lag","val","sd"
"31","HMC","~tuned","x2",30,0.0318196210752796,0.0483285119922632
"32","MHS","~tuned","x2",30,0.42633532105801,0.258628580749263
"33","RS","~tuned","x2",30,-0.0173051734986123,0.0907069143647428
"34","HMC","tuned","x2",30,0.0371023111994523,0.0522123406658939
"35","MHS","tuned","x2",30,0.300573586077686,0.208863854742104
"36","RS","tuned","x2",30,0.00598756970040943,0.0324980252472922
"37","HMC","~tuned","x1",40,0.00351551240782142,0.0329126041749896
"38","MHS","~tuned","x1",40,0.322995082505804,0.216340457772685
"39","RS","~tuned","x1",40,0.00892365816879532,0.102892008421501
"40","HMC","tuned","x1",40,0.00556687462888913,0.0343524053921664
"41","MHS","tuned","x1",40,0.137472949450867,0.169457762405732
"42","RS","tuned","x1",40,-0.00429627365578922,0.0272019778813352
"43","HMC","~tuned","x2",40,-0.0145461583694953,0.0407851233765967
"44","MHS","~tuned","x2",40,0.392568456231995,0.227540331529712
"45","RS","~tuned","x2",40,-0.00507393519741545,0.0754249387509355
"46","HMC","tuned","x2",40,0.0334162917902404,0.044885695533092
"47","MHS","tuned","x2",40,0.237294849198844,0.201103563654811
"48","RS","tuned","x2",40,-0.00318740732861144,0.0335699034436029
"49","HMC","~tuned","x1",50,0.00263829550897635,0.0445210946542374
"50","MHS","~tuned","x1",50,0.282986778451881,0.207395529809798
"51","RS","~tuned","x1",50,0.0128547444171011,0.079555604236082
"52","HMC","tuned","x1",50,0.0113910584501566,0.0432671789337506
"53","MHS","tuned","x1",50,0.112552188453498,0.154473516701668
"54","RS","tuned","x1",50,-0.000374047445360693,0.0316152046965853
"55","HMC","~tuned","x2",50,-0.0202182505345418,0.0453168924265402
"56","MHS","~tuned","x2",50,0.360963945737284,0.195196436826088
"57","RS","~tuned","x2",50,0.00365790417068024,0.064655363328536
"58","HMC","tuned","x2",50,0.0163573972136109,0.0354843764441341
"59","MHS","tuned","x2",50,0.215239724754057,0.206087095363447
"60","RS","tuned","x2",50,0.00356864418092077,0.029941219334471
"61","HMC","~tuned","x1",60,-0.0213450305319187,0.0393038549801239
"62","MHS","~tuned","x1",60,0.236750291486504,0.202857181250824
"63","RS","~tuned","x1",60,0.00241020591799878,0.0593327862611945
"64","HMC","tuned","x1",60,0.0145185086169241,0.0602847608614345
"65","MHS","tuned","x1",60,0.1281973611106,0.135224771106245
"66","RS","tuned","x1",60,0.00157175759796529,0.0304595795826098
"67","HMC","~tuned","x2",60,-0.025447712344971,0.05257866750652
"68","MHS","~tuned","x2",60,0.325058769017972,0.169617898998017
"69","RS","~tuned","x2",60,0.000777151030302319,0.0544154915712481
"70","HMC","tuned","x2",60,-0.0444325320459831,0.0470599022033281
"71","MHS","tuned","x2",60,0.225577776227923,0.176591611590827
"72","RS","tuned","x2",60,0.00571365105572959,0.0292659576013291
"73","HMC","~tuned","x1",70,-0.0117085474762393,0.0302187221166423
